CourseID	Certification Year	Name	Dist	Units	City	State	Measurer	Full state	City,State	Latitude	Longitude	Color	Certificate URL	Steet map	Driving directions	Date added	Replaces
ON-2012-151-BDC	2012	Laurelwood Dr 300 m Calibration Course	300	m	Waterloo	ON		Ontario	Waterloo,Ontario	43.4652699	-80.5222961	PURPLE	<a href='https://www.acroad.ca/certificates/2012/on-2012-151-BDC.pdf' target='_blank'>ON-2012-151-BDC</a>	<a href='https://www.google.com/maps/place/43.4652699,-80.5222961' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.4652699,-80.5222961&travelmode=driving' target='_blank'>Driving directions to course</a>		
NS-2012-112-BDC	2012	Main Road 300m Calibration Course	300	m	Eastern Passage	NS		Nova Scotia	Eastern Passage,Nova Scotia	44.6116121	-63.4895289	PURPLE	<a href='https://www.acroad.ca/certificates/2012/NS-2012-112-BDC.pdf' target='_blank'>NS-2012-112-BDC</a>	<a href='https://www.google.com/maps/place/44.6116121,-63.4895289' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=44.6116121,-63.4895289&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-147-BDC	2012	Margaret Street 300m Calibration Course	300	m	London	ON		Ontario	London,Ontario	42.9836747	-81.2496068	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-147-BDC.pdf' target='_blank'>ON-2012-147-BDC</a>	<a href='https://www.google.com/maps/place/42.9836747,-81.2496068' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=42.9836747,-81.2496068&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-058-BDC	2012	Marina Park Drive 300m Calibration Course	300	m	Thunder Bay	QC		Quebec	Thunder Bay,Quebec			PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-058-BDC.pdf' target='_blank'>ON-2012-058-BDC</a>				
NL-2012-027-BDC	2012	Memorial Drive 500m Calibration Course	500	m	Gander	NL		Newfoundland and Labrador	Gander,Newfoundland and Labrador	48.9592291	-54.6187879	PURPLE	<a href='https://www.acroad.ca/certificates/2012/NL-2012-027-BDC.pdf' target='_blank'>NL-2012-027-BDC</a>	<a href='https://www.google.com/maps/place/48.9592291,-54.6187879' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=48.9592291,-54.6187879&travelmode=driving' target='_blank'>Driving directions to course</a>		
NB-2012-159-BDC	2012	Moncton Coliseum P.L. 300 m Calibration Course	300	m	Moncton	NB		New Brunswick	Moncton,New Brunswick	46.0985679	-64.8004265	PURPLE	<a href='https://www.acroad.ca/certificates/2012/nb-2012-159-BDC.pdf' target='_blank'>NB-2012-159-BDC</a>	<a href='https://www.google.com/maps/place/46.0985679,-64.8004265' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=46.0985679,-64.8004265&travelmode=driving' target='_blank'>Driving directions to course</a>		
CRC-2012-162-BDC	2012	National Stadium 304.632 m Calibration Course	304.632	m	San Jos				San Jos	14.7383651	-87.9131361	PURPLE	<a href='https://www.acroad.ca/certificates/2012/crc-2012-162-BDC.pdf' target='_blank'>CRC-2012-162-BDC</a>	<a href='https://www.google.com/maps/place/14.7383651,-87.9131361' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=14.7383651,-87.9131361&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2012-099-BDC	2012	Northern Bike Path 300.053m Calibration Course	300.053	m	Vancouver	BC		British Columbia	Vancouver,British Columbia	49.2608724	-123.1139520	PURPLE	<a href='https://www.acroad.ca/certificates/2012/BC-2012-099-BDC.pdf' target='_blank'>BC-2012-099-BDC</a>	<a href='https://www.google.com/maps/place/49.2608724,-123.1139520' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.2608724,-123.1139520&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2012-165-BDC	2012	Old Bamberton Haul Rd. 333.333 m Cal. Course	333.333	m	Shawnigan Lake	BC		British Columbia	Shawnigan Lake,British Columbia	48.6538128	-123.6229791	PURPLE	<a href='https://www.acroad.ca/certificates/2012/bc-2012-165-BDC.pdf' target='_blank'>BC-2012-165-BDC</a>	<a href='https://www.google.com/maps/place/48.6538128,-123.6229791' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=48.6538128,-123.6229791&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2012-075-BDC	2012	Parkville Drive 350m Calibration Course	350	m	Winnipeg	MB		Manitoba	Winnipeg,Manitoba	49.8955367	-97.1384584	PURPLE	<a href='https://www.acroad.ca/certificates/2012/MB-2012-075-BDC.pdf' target='_blank'>MB-2012-075-BDC</a>	<a href='https://www.google.com/maps/place/49.8955367,-97.1384584' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.8955367,-97.1384584&travelmode=driving' target='_blank'>Driving directions to course</a>		
AB-2012-123-BDC	2012	Paved Trail parallel to Hwy 884 400m Calibration Course	400	m	Ralston	AB		Alberta	Ralston,Alberta	50.2458546	-111.1682865	PURPLE	<a href='https://www.acroad.ca/certificates/2012/AB-2012-123-BDC.pdf' target='_blank'>AB-2012-123-BDC</a>	<a href='https://www.google.com/maps/place/50.2458546,-111.1682865' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=50.2458546,-111.1682865&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2012-074-BDC	2012	Queens Way 300m Calibration Course	300	m	Squamish	BC		British Columbia	Squamish,British Columbia	49.6980743	-123.1558610	PURPLE	<a href='https://www.acroad.ca/certificates/2012/BC-2012-074-BDC.pdf' target='_blank'>BC-2012-074-BDC</a>	<a href='https://www.google.com/maps/place/49.6980743,-123.1558610' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.6980743,-123.1558610&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-095-BDC	2012	Sawmill Road 300m Calibration Course	300	m	Conestogo	ON		Ontario	Conestogo,Ontario	43.5412599	-80.5048699	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-095-BDC.pdf' target='_blank'>ON-2012-095-BDC</a>	<a href='https://www.google.com/maps/place/43.5412599,-80.5048699' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.5412599,-80.5048699&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-011-BDC	2012	Snyder Ave. South 300m Calibration Course	300	m	Elmira	ON		Ontario	Elmira,Ontario	43.5893917	-80.5507359	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-011-BDC.pdf' target='_blank'>ON-2012-011-BDC</a>	<a href='https://www.google.com/maps/place/43.5893917,-80.5507359' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.5893917,-80.5507359&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2012-090-BDC	2012	Stevens Ave 400m Calibration Course	400	m	Lockport	MB		Manitoba	Lockport,Manitoba	50.0858311	-96.9424568	PURPLE	<a href='https://www.acroad.ca/certificates/2012/MB-2012-090-BDC.pdf' target='_blank'>MB-2012-090-BDC</a>	<a href='https://www.google.com/maps/place/50.0858311,-96.9424568' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=50.0858311,-96.9424568&travelmode=driving' target='_blank'>Driving directions to course</a>		
QC-2012-148-BDC	2012	T.D. Bouchard Avenue 300 m Cal. Course	300	m	Saint-Hyacinthe	QC		Quebec	Saint-Hyacinthe,Quebec	45.6274840	-72.9406360	PURPLE	<a href='https://www.acroad.ca/certificates/2012/qc-2012-148-BDC.pdf' target='_blank'>QC-2012-148-BDC</a>	<a href='https://www.google.com/maps/place/45.6274840,-72.9406360' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.6274840,-72.9406360&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-057-BDC	2012	Thomas Street 300m Calibration Course	300	m	St. Marys	ON		Ontario	St. Marys,Ontario	43.2570855	-81.1408629	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-057-BDC.pdf' target='_blank'>ON-2012-057-BDC</a>	<a href='https://www.google.com/maps/place/43.2570855,-81.1408629' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.2570855,-81.1408629&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2012-060-BDC	2012	William Street 300m Calibration Course	300	m	Neepawa	MB		Manitoba	Neepawa,Manitoba	50.2284172	-99.4664008	PURPLE	<a href='https://www.acroad.ca/certificates/2012/MB-2012-060-BDC.pdf' target='_blank'>MB-2012-060-BDC</a>	<a href='https://www.google.com/maps/place/50.2284172,-99.4664008' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=50.2284172,-99.4664008&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2012-137-BDC	2012	Willowby Road 300m Calibration Course	300	m	Caledon	ON		Ontario	Caledon,Ontario	43.8320698	-79.9066871	PURPLE	<a href='https://www.acroad.ca/certificates/2012/ON-2012-137-BDC.pdf' target='_blank'>ON-2012-137-BDC</a>	<a href='https://www.google.com/maps/place/43.8320698,-79.9066871' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.8320698,-79.9066871&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2011-086-BDC	2011	21st Avenue 350m Calibration Course	350	m	Delta	BC		British Columbia	Delta,British Columbia	49.0846258	-123.0579380	PURPLE	<a href='https://www.acroad.ca/certificates/2011/BC-2011-086-BDC.pdf' target='_blank'>BC-2011-086-BDC</a>	<a href='https://www.google.com/maps/place/49.0846258,-123.0579380' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.0846258,-123.0579380&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2011-046-BDC	2011	Ahmadiyya Ave 300m Calibration Course	300	m	Vaughan	ON		Ontario	Vaughan,Ontario	43.7941544	-79.5268023	PURPLE	<a href='https://www.acroad.ca/certificates/2011/ON-2011-046-BDC.pdf' target='_blank'>ON-2011-046-BDC</a>	<a href='https://www.google.com/maps/place/43.7941544,-79.5268023' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.7941544,-79.5268023&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2011-003-BDC	2011	Airport Way calibration course	349.958	m	Pitt Meadows	BC		British Columbia	Pitt Meadows,British Columbia	49.2207623	-122.6901530	PURPLE	<a href='https://www.acroad.ca/certificates/2011/BC-2011-003-BDC.pdf' target='_blank'>BC-2011-003-BDC</a>	<a href='https://www.google.com/maps/place/49.2207623,-122.6901530' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.2207623,-122.6901530&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2011-002-BDC	2011	Aylmer Street 300m Calibration Course	300	m	Peterborough	ON		Ontario	Peterborough,Ontario	44.3048009	-78.3199496	PURPLE	<a href='https://www.acroad.ca/certificates/2011/ON-2011-002-BDC.pdf' target='_blank'>ON-2011-002-BDC</a>	<a href='https://www.google.com/maps/place/44.3048009,-78.3199496' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=44.3048009,-78.3199496&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2011-037-BDC	2011	Bonham Blvd. 300m Calibration Course	300	m	Mississauga	ON		Ontario	Mississauga,Ontario	43.5884727	-79.6436580	PURPLE	<a href='https://www.acroad.ca/certificates/2011/ON-2011-037-BDC.pdf' target='_blank'>ON-2011-037-BDC</a>	<a href='https://www.google.com/maps/place/43.5884727,-79.6436580' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.5884727,-79.6436580&travelmode=driving' target='_blank'>Driving directions to course</a>		
QC-2011-021-BDC	2011	Boulevard des Lumières 300m Calibration Course	300	m	Brossard	QC		Quebec	Brossard,Quebec	45.4554579	-73.4678695	PURPLE	<a href='https://www.acroad.ca/certificates/2011/QC-2011-021-BDC.pdf' target='_blank'>QC-2011-021-BDC</a>	<a href='https://www.google.com/maps/place/45.4554579,-73.4678695' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.4554579,-73.4678695&travelmode=driving' target='_blank'>Driving directions to course</a>		
NB-2011-056-BDC	2011	College Field Trail Calibration Course	300	m	Fredericton	NB		New Brunswick	Fredericton,New Brunswick	45.9488278	-66.6291827	PURPLE	<a href='https://www.acroad.ca/certificates/2011/NB-2011-056-BDC.pdf' target='_blank'>NB-2011-056-BDC</a>	<a href='https://www.google.com/maps/place/45.9488278,-66.6291827' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.9488278,-66.6291827&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2012-008-BDC	2012	Cooper Road 500m Calibration Course	500	m	Halfmoon Bay	BC		British Columbia	Halfmoon Bay,British Columbia	49.5134025	-123.9095730	PURPLE	<a href='https://www.acroad.ca/certificates/2011/BC-2012-008-BDC.pdf' target='_blank'>BC-2012-008-BDC</a>	<a href='https://www.google.com/maps/place/49.5134025,-123.9095730' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.5134025,-123.9095730&travelmode=driving' target='_blank'>Driving directions to course</a>		
NS-2011-115-BDC	2011	Herbert Street 300m Calibration Course	300	m	Yarmouth	NS		Nova Scotia	Yarmouth,Nova Scotia	43.8372648	-66.1157000	PURPLE	<a href='https://www.acroad.ca/certificates/2011/NS-2011-115-BDC.pdf' target='_blank'>NS-2011-115-BDC</a>	<a href='https://www.google.com/maps/place/43.8372648,-66.1157000' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.8372648,-66.1157000&travelmode=driving' target='_blank'>Driving directions to course</a>		
NB-2011-073-BDC	2011	Main St. (Hampton) 300m Calibration Course	300	m	Hampton	NB		New Brunswick	Hampton,New Brunswick	45.5306487	-65.8357469	PURPLE	<a href='https://www.acroad.ca/certificates/2011/NB-2011-073-BDC.pdf' target='_blank'>NB-2011-073-BDC</a>	<a href='https://www.google.com/maps/place/45.5306487,-65.8357469' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.5306487,-65.8357469&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2011-058-BDC	2011	McNorton Street 300m Calibration Course	300	m	Tecumseh	ON		Ontario	Tecumseh,Ontario	42.3117951	-82.8861974	PURPLE	<a href='https://www.acroad.ca/certificates/2011/ON-2011-058-BDC.pdf' target='_blank'>ON-2011-058-BDC</a>	<a href='https://www.google.com/maps/place/42.3117951,-82.8861974' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=42.3117951,-82.8861974&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2011-063-BDC	2011	Meloche Road 300m Calibration Course	300	m	Amherstburg	ON		Ontario	Amherstburg,Ontario	42.1013313	-83.1086544	PURPLE	<a href='https://www.acroad.ca/certificates/2011/ON-2011-063-BDC.pdf' target='_blank'>ON-2011-063-BDC</a>	<a href='https://www.google.com/maps/place/42.1013313,-83.1086544' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=42.1013313,-83.1086544&travelmode=driving' target='_blank'>Driving directions to course</a>		
QC-2011-106-BDC	2011	Park Oka Chemin de Camping 300m Calibration Course	300	m	Oka	QC		Quebec	Oka,Quebec	45.4604748	-74.0900497	PURPLE	<a href='https://www.acroad.ca/certificates/2011/QC-2011-106-BDC.pdf' target='_blank'>QC-2011-106-BDC</a>	<a href='https://www.google.com/maps/place/45.4604748,-74.0900497' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.4604748,-74.0900497&travelmode=driving' target='_blank'>Driving directions to course</a>		
